Time,Numbers Employed Forecast Semiconductors,Numbers Employed Forecast Infocomms & Consumer Electronics,Numbers Employed Forecast Other Electronic Modules & Components,Numbers Employed Forecast Petroleum,Numbers Employed Forecast Petrochemicals,Numbers Employed Forecast Specialty Chemicals,Numbers Employed Forecast Chemicals Others,Numbers Employed Forecast Pharmaceuticals,Numbers Employed Forecast Medical Technology,Numbers Employed Forecast Machinery & Systems,Numbers Employed Forecast Precision Modules & Components,Numbers Employed Forecast Marine & Offshore Engineering,Numbers Employed Forecast Aerospace,Numbers Employed Forecast Transport Land,"Numbers Employed Forecast Food, Beverages & Tobacco",Numbers Employed Forecast Printing,Numbers Employed Forecast General Manufacturing Industries Miscellaneous,Output Forecast Semiconductors,Output Forecast Infocomms & Consumer Electronics,Output Forecast Other Electronic Modules & Components,Output Forecast Petroleum,Output Forecast Petrochemicals,Output Forecast Specialty Chemicals,Output Forecast Chemicals Others,Output Forecast Pharmaceuticals,Output Forecast Medical Technology,Output Forecast Machinery & Systems,Output Forecast Precision Modules & Components,Output Forecast Marine & Offshore Engineering,Output Forecast Aerospace,Output Forecast Transport Land ,"Output Forecast Food, Beverages & Tobacco",Output Forecast Printing,Output Forecast General Manufacturing Industries Miscellaneous
  2022 4Q,-36,0,-37,0,0,7,-7,9,20,-10,-2,5,5,-20,20,-7,-4,-46,-12,-77,-23,20,31,-5,-6,0,19,-44,16,36,-10,-6,3,10
  2022 3Q,0,25,-9,0,0,9,-4,0,-13,3,12,11,15,0,6,-2,14,-39,12,6,0,-12,9,-16,2,-17,-42,29,2,17,30,17,-2,6
  2022 2Q,58,25,5,0,6,27,-4,21,0,11,23,33,73,0,6,-1,30,11,12,13,0,-1,-27,6,65,-10,40,36,17,70,30,-11,-4,40
  2022 1Q,34,25,-28,0,0,8,13,0,23,17,22,26,26,-17,12,8,48,49,-12,8,-23,7,16,10,1,11,54,-4,14,39,-39,-1,-1,49
  2021 4Q,14,0,0,0,0,4,-4,-3,22,26,-10,12,38,-20,7,-5,25,-7,-4,1,0,-3,23,11,6,30,-25,-12,2,61,28,8,-7,0
  2021 3Q,26,25,17,0,0,15,6,14,14,17,-11,-2,42,-20,14,5,11,0,8,-1,-25,26,-13,-1,-4,27,10,-10,1,53,28,30,-4,17
  2021 2Q,15,44,40,0,14,8,5,23,8,18,-12,2,25,-20,-4,-5,9,12,-4,47,-42,-34,4,1,-32,43,39,-2,4,42,28,-13,-9,8
  2021 1Q,19,0,20,0,0,4,5,36,22,24,5,0,7,0,-8,-7,18,40,8,52,-17,-4,12,1,80,26,54,7,4,19,56,-29,-8,32
  2020 4Q,16,0,1,0,3,5,-4,0,6,5,5,-3,13,0,-1,-3,7,28,-4,55,24,0,11,-4,-6,30,50,-7,-23,47,62,1,-23,5
  2020 3Q,-3,0,23,0,0,-8,-6,0,0,-3,-29,-18,-3,0,0,-12,-3,-8,-11,65,0,-3,1,-18,-30,22,43,13,8,-19,81,-27,-15,48
  2020 2Q,-14,-11,9,0,0,-8,-7,12,0,-16,-1,-10,-36,0,-11,-3,6,3,-17,-27,0,4,-37,-6,-50,-2,41,18,-29,-59,69,-3,-19,-8
  2020 1Q,5,0,18,0,0,0,-4,-1,-6,-18,-10,-16,-2,-22,-13,-17,-21,-23,-8,-35,-76,-20,-65,-24,-47,-36,-7,-25,-60,-69,-52,-46,-20,-65
  2019 4Q,-11,0,-32,0,0,3,10,22,0,1,-4,2,-2,0,1,-16,-13,-3,-13,-47,37,21,16,21,-42,-13,59,-2,-2,7,-23,-11,-4,-18
  2019 3Q,-12,0,-42,0,0,6,-3,7,0,-5,-7,2,-5,-3,6,-15,0,-5,3,-48,0,-20,-20,-27,22,2,-10,-2,14,13,65,-27,-5,3
  2019 2Q,7,7,-53,0,6,3,-3,39,0,3,-9,5,-3,0,-8,-14,0,-27,-51,-67,-100,-4,-17,-10,11,-6,-46,-3,6,-3,-3,4,-5,7
  2019 1Q,-6,-14,0,0,1,-2,-1,13,11,3,-2,12,-3,0,4,-11,-5,-30,-67,23,63,-2,21,15,63,24,-53,4,34,41,3,-6,-10,5
  2018 4Q,-15,0,0,0,4,3,-7,13,10,-15,-9,16,-2,0,3,-11,-4,-36,-63,11,-20,-4,25,8,38,27,-16,-30,13,24,17,-7,-9,-32
  2018 3Q,-7,0,0,0,0,7,2,14,16,-14,4,-2,0,0,-4,-11,0,-4,-6,-29,32,-27,-12,0,25,33,-43,11,7,31,25,19,-2,7
  2018 2Q,-21,-14,10,0,0,2,-4,26,7,9,2,-7,0,0,-4,-11,-5,21,-51,23,-32,-17,-13,1,3,25,1,24,-10,32,-5,27,-4,18
  2018 1Q,16,0,0,0,0,2,-4,0,15,10,4,-49,0,0,7,-13,4,18,0,23,0,-5,27,16,68,24,65,8,-8,32,19,-3,-10,23
  2017 4Q,0,-13,-17,0,0,4,9,3,11,17,-5,-28,1,0,2,-15,0,-10,-60,7,-41,-2,37,27,56,13,35,5,-29,24,6,-8,-6,-15
  2017 3Q,0,-13,-17,0,24,1,2,3,13,-5,-5,-52,15,0,3,-15,0,4,-47,1,41,42,8,10,-26,55,49,-1,-23,50,22,2,-14,-22
  2017 2Q,5,-13,-17,0,0,8,-2,0,7,10,1,-26,2,2,3,-16,-11,18,-54,-11,0,41,3,25,-10,56,22,6,-19,47,26,10,-8,-7
  2017 1Q,5,-14,32,0,3,3,6,0,17,11,6,-38,9,23,7,-6,-17,15,-55,26,-5,-41,37,22,38,37,53,26,-34,38,64,16,-1,-14
  2016 4Q,1,0,24,0,0,-2,7,0,16,-5,-3,-66,9,0,2,-4,-32,28,-59,26,-36,18,-18,10,-23,5,33,-30,-55,27,-21,2,-23,-49
  2016 3Q,10,0,0,0,0,1,-3,6,38,-13,-5,-44,5,0,19,-11,-5,50,-67,17,-64,18,-18,-15,50,26,18,-25,-58,3,25,7,-8,-31
  2016 2Q,20,-5,0,-54,0,-1,-2,0,32,-16,-2,-39,7,0,2,-12,-28,23,-54,50,-25,-13,-5,19,-50,25,24,-11,-59,7,1,12,-24,-20
  2016 1Q,10,0,7,0,0,0,-3,0,35,-12,-5,-46,5,0,1,-17,-13,34,-63,59,0,23,-23,8,4,26,46,11,-66,13,52,13,-19,-19
  2015 4Q,-4,0,39,0,0,-2,1,0,40,-15,-13,-37,0,0,1,-11,-24,-34,-22,1,-39,-25,-29,11,-44,18,-7,-31,-64,-20,-34,2,-3,-46
  2015 3Q,-8,0,14,0,0,0,-3,0,34,-7,-9,-38,0,0,-1,-15,-28,-34,-35,-2,-24,-19,-20,-6,25,24,-19,-18,-29,12,73,12,-16,-42
  2015 2Q,41,0,39,0,0,-3,6,0,28,-7,-10,-35,8,-5,3,-6,4,7,-34,29,-26,30,-13,9,2,24,-1,-1,-3,-16,48,21,-5,-4
  2015 1Q,38,0,14,-39,1,4,-62,0,31,8,-5,-37,3,0,7,-9,-24,29,-2,66,-37,2,16,16,-46,49,23,13,-9,27,16,15,0,-3
  2014 4Q,0,-39,14,0,0,-2,-13,0,31,-1,-3,1,2,20,6,-10,-18,5,-34,-2,76,12,23,-5,5,5,-3,-6,-21,-10,-29,2,2,-13
  2014 3Q,12,-29,26,0,0,2,-13,45,15,2,-2,9,-8,0,3,-12,-11,17,-39,28,-100,-10,4,-19,-89,32,-24,2,24,0,14,6,-9,20
  2014 2Q,2,10,36,0,4,0,5,2,16,21,-1,4,0,0,8,1,19,2,0,11,0,12,-9,46,-19,23,4,4,3,4,47,28,17,16
  2014 1Q,2,0,0,0,0,4,38,27,20,13,4,10,0,0,18,3,13,21,30,-7,-38,1,10,42,21,57,17,23,33,1,-16,10,1,22
  2013 4Q,6,-49,-11,0,0,1,5,2,14,-7,-4,9,2,0,4,2,9,0,-49,-57,-41,-1,6,53,84,36,17,-11,-3,-10,72,10,-11,-3
  2013 3Q,-3,0,0,0,-2,-8,-14,0,0,-6,-5,4,2,0,20,-3,12,-14,-3,-13,0,-33,3,-40,-19,5,-13,-17,4,9,49,15,-9,25
  2013 2Q,18,-16,11,0,0,2,20,0,29,3,2,1,7,20,25,-1,8,26,-21,11,0,37,-2,23,-19,22,5,1,8,0,40,38,5,4
  2013 1Q,15,-6,49,0,0,3,17,2,16,16,2,22,-1,0,14,-1,5,27,17,48,-16,-6,-6,19,20,30,31,18,33,4,72,9,-5,19
  2012 4Q,-2,-38,39,0,0,15,16,0,8,2,-17,24,0,0,13,-3,12,-35,-90,2,-24,-6,2,38,10,5,13,-20,10,4,70,14,-12,0
  2012 3Q,-4,-5,0,0,0,-9,-3,0,2,-4,0,16,-3,0,16,3,12,-12,-5,-24,0,3,-34,8,-10,7,-23,-32,10,2,12,14,-4,25
  2012 2Q,9,-5,0,0,0,-2,-7,-7,-8,-3,-7,28,7,6,12,-5,27,42,-5,10,-36,28,-5,-12,3,6,-6,-11,18,-7,24,16,8,9
  2012 1Q,3,-5,10,0,0,15,13,4,14,4,0,31,3,18,15,5,12,50,-11,44,0,7,26,9,48,20,17,8,11,26,24,23,15,4
  2011 4Q,-16,-35,0,0,0,2,20,0,5,-12,-13,5,16,0,6,-5,19,-41,-53,-36,41,2,-4,34,7,-21,-4,-20,0,6,28,2,-1,-5
  2011 3Q,-19,0,0,0,3,-5,14,0,6,-9,-10,8,13,0,8,-9,-31,-30,-13,-17,-41,14,-21,25,-62,-1,-19,-32,3,16,69,9,-10,-19
  2011 2Q,10,0,0,0,3,-2,24,0,12,9,4,29,46,0,21,0,1,20,-32,14,36,-50,0,56,3,21,7,11,12,22,69,51,4,13
  2011 1Q,10,-21,27,0,3,26,11,0,22,9,7,42,18,7,21,-2,-1,19,18,9,-36,0,13,19,-16,28,3,17,26,13,28,33,15,3
  2010 4Q,17,0,23,0,45,3,15,0,4,-1,3,21,55,0,9,3,-7,9,-14,-10,-86,0,4,62,58,38,14,-2,26,55,-5,4,-17,5
  2010 3Q,15,13,23,0,42,4,-5,0,37,3,5,9,26,0,10,16,6,-4,13,-4,60,8,9,-8,-1,8,-20,4,8,5,31,10,21,6
  2010 2Q,35,12,28,0,1,3,44,0,0,18,16,-13,22,0,13,8,-9,60,84,17,-60,-26,23,57,-29,0,18,19,-22,17,60,30,13,22
  2010 1Q,21,0,18,0,0,2,31,0,0,31,18,3,30,0,11,9,-10,74,89,3,34,19,32,41,37,2,30,30,-2,32,55,36,22,20
  2009 4Q,0,-11,0,0,0,6,48,0,0,6,3,-4,-3,0,15,4,-20,8,-67,18,-24,23,16,30,56,0,15,16,-12,-4,72,1,-9,0
  2009 3Q,4,0,18,0,2,8,0,0,0,10,-10,-28,10,0,0,-10,-8,25,-6,41,-10,-25,30,-29,-53,-53,3,7,-40,-17,17,-5,-12,13
  2009 2Q,-4,-8,0,0,0,-4,21,0,0,-23,-16,-38,0,0,13,-8,-10,39,-8,46,-100,-17,16,39,-53,0,-10,-13,-70,2,-19,17,1,16
  2009 1Q,-33,-30,-47,0,-1,-7,-8,0,0,-34,-51,-13,-2,0,-5,-14,-27,-28,-51,-27,-24,-19,-22,16,58,-80,-48,-55,-33,-31,89,-18,-7,-1
  2008 4Q,-54,-9,-61,-1,-6,-35,-13,0,0,-23,-66,-14,-23,0,-1,-29,-6,-86,-75,-100,-33,-22,-58,-48,-20,-40,-65,-90,-12,-21,-42,-14,-39,-31
  2008 3Q,-16,44,7,0,0,-8,-4,0,-33,8,-14,11,-9,15,8,-7,13,16,61,2,-32,3,-19,-4,22,9,8,-24,21,-29,3,2,-9,-5
  2008 2Q,2,-37,12,0,0,7,3,0,0,5,-4,14,14,2,0,9,15,13,-43,26,29,-43,-10,9,55,9,2,6,31,19,76,8,7,32
  2008 1Q,3,-60,12,1,0,0,-1,0,9,16,-6,33,10,10,10,0,36,30,-46,12,-30,0,13,33,-87,9,10,8,33,15,18,16,2,55
  2007 4Q,9,8,2,0,0,16,5,0,0,7,-9,47,15,0,4,2,20,11,-15,-8,0,0,22,27,50,0,5,-13,39,69,-42,21,-3,16
  2007 3Q,12,-10,-9,0,0,16,11,0,11,5,2,59,17,0,11,0,22,46,49,-33,0,18,19,33,-28,-37,25,5,54,-2,4,25,7,24
  2007 2Q,15,18,0,0,3,-1,10,0,0,9,0,35,22,0,11,-2,19,18,81,21,5,-36,25,40,39,53,29,6,38,13,-30,46,12,52
  2007 1Q,20,9,14,0,0,-1,16,0,48,18,3,68,63,0,10,4,15,37,15,40,-34,4,21,42,64,48,40,17,71,80,60,24,15,39
  2006 4Q,8,-21,0,0,6,13,5,81,0,5,5,69,29,0,14,6,13,10,-58,-22,0,8,12,3,-62,9,-9,-5,67,33,58,18,-9,12
  2006 3Q,17,10,0,0,0,19,5,81,11,10,0,73,28,0,10,1,-3,6,56,1,0,58,24,0,71,35,7,5,66,23,52,32,-6,4
  2006 2Q,21,12,12,0,-3,1,13,81,0,8,6,55,42,0,22,1,14,10,18,53,-33,-31,20,47,-81,83,38,18,55,90,53,34,18,29
  2006 1Q,12,-12,1,0,0,14,18,0,6,17,10,76,70,0,12,2,5,45,23,13,33,1,24,13,-10,58,43,22,41,38,6,20,12,51
  2005 4Q,25,-21,6,0,-6,3,5,0,6,26,2,64,30,0,14,1,-24,-6,-38,-20,0,13,-4,-6,-59,-10,34,-3,64,2,5,26,-9,-48
  2005 3Q,31,-20,12,0,0,16,15,0,6,15,5,27,39,0,4,0,4,43,-28,21,20,61,17,-57,100,7,16,-5,49,41,53,37,-2,-6
  2005 2Q,17,4,-16,0,3,8,-21,0,-47,14,-1,69,66,0,4,-2,21,63,7,80,30,20,33,-28,59,37,30,23,73,63,19,54,4,12
  2005 1Q,3,-29,18,0,0,19,0,0,0,18,10,14,23,10,-1,2,6,49,42,38,0,8,14,10,0,84,29,34,12,50,-19,14,60,10
  2004 4Q,-10,-16,2,0,0,11,5,0,7,3,-4,29,-8,8,4,2,-33,-4,-71,3,0,37,1,-41,-86,41,-9,-6,31,-23,74,21,-2,-41
  2004 3Q,26,-2,-8,0,0,6,-23,0,10,-28,-3,21,4,-6,8,1,-13,53,-26,-27,0,20,26,-17,42,26,1,-15,31,-1,-11,21,1,-18
  2004 2Q,49,0,9,0,4,14,-6,0,7,39,5,54,9,0,10,7,24,62,11,-7,34,-8,32,-1,-8,0,-9,21,44,26,20,32,17,34
  2004 1Q,22,23,15,0,-4,24,3,0,7,37,7,25,4,0,2,2,2,85,82,45,-48,2,40,46,-28,93,59,33,27,37,-4,32,21,27
  2003 4Q,9,-42,0,0,0,14,20,0,9,15,1,17,0,4,-1,8,-12,7,-28,-20,0,4,17,-28,95,-58,0,-8,28,-6,-69,14,-54,-18
  2003 3Q,9,-8,-10,0,3,0,-9,-1,17,6,-2,0,-14,-16,15,-8,-13,32,25,18,37,37,16,-8,84,18,32,9,6,-29,-4,53,-10,-14
  2003 2Q,14,20,-17,0,3,13,-30,30,0,8,2,1,-9,-16,4,-9,16,31,71,24,-11,-39,19,-41,86,-8,-15,0,36,-31,-69,19,11,20
  2003 1Q,-14,17,0,0,-1,-7,-39,1,-7,2,-4,-6,-6,0,-5,-10,-11,2,40,17,-52,19,11,-43,-57,-7,32,-6,5,-46,-4,2,-5,-34
