Time,Mini-Marts & Convenience Stores Index,Food & Alcohol Index,Motor Vehicles Index,Petrol Service Stations Index,"Cosmetics, Toiletries & Medical Goods Index",Wearing Apparel & Footwear Index,Furniture & Household Equipment Index,Recreational Goods Index,Watches & Jewellery Index,Computer & Telecommunications Equipment Index,Optical Goods & Books Index,Retail Sales Others Index
  2022 4Q,96.5,108.1,56.3,118.1,105,134.6,131.3,134.9,138,157.2,96.6,94.5
  2022 3Q,93.8,92.7,58.8,129.7,91.7,116.2,110.4,110,120,121.7,73.3,88.8
  2022 2Q,92.8,84.3,63.1,141.5,85.7,119.1,110.8,113.1,121.7,102.9,71.5,86.3
  2022 1Q,95.1,73.3,64.9,124.4,89.8,100.4,111.1,98.5,114.8,110.7,71.4,77.8
  2021 4Q,96.2,69.7,64.6,114,87.7,100.3,125.8,117.9,114.5,154.4,90.6,80.9
  2021 3Q,97.2,61.2,68.5,109.9,75.3,71.7,102.3,95.1,87.9,106.3,66.4,75.8
  2021 2Q,98,58.5,72.3,102.3,70.5,67.4,102.5,91.8,82.3,95.4,65.8,73.9
  2021 1Q,100.8,67.6,74.9,103.9,74.2,85,102.8,98,96.9,96.2,76.9,79.7
  2020 4Q,101.5,62.9,72.5,94.8,78.2,88.4,118.6,120.8,92.6,131.7,99.7,85.2
  2020 3Q,102.7,58.5,76,87,74,70.3,102.6,100.5,79.7,86.5,74.1,81.9
  2020 2Q,110.4,44.2,24.9,56.1,58.4,21.4,56.7,41,19.3,73.3,35.1,41.8
  2020 1Q,104.2,90.8,70.6,100.4,95.8,85.5,89.8,83.8,78.8,79.6,80.4,90
  2019 4Q,99.5,100.6,68.8,105.5,111.9,116.1,98.3,108.7,107.3,116.4,108.6,102.2
  2019 3Q,100.6,99.6,76.7,108.4,105.7,98.8,89.7,95.8,94.8,86.3,90.8,101.4
  2019 2Q,98.8,91.7,86.6,107.3,101,98.6,95.1,95.1,97,73.5,87.5,99.6
  2019 1Q,101.8,113.4,92,104.1,106.6,110.5,94.6,93.6,98.4,81,91.5,99
  2018 4Q,96.9,101.5,89.5,106,110.1,112.3,108.9,108.9,101,118,111.7,108.2
  2018 3Q,101.3,99.9,85.7,111.9,102.6,95.8,98.9,100.2,101.3,83.6,91.6,103.8
  2018 2Q,99.3,92.8,101.9,107.9,101.3,94.7,105.2,96.3,97.4,78.4,90.5,101.2
  2018 1Q,100.7,120.5,86.9,106.6,105.6,109,100.5,94.4,101.5,87.3,96,98.2
  2017 4Q,97.6,103.3,103,101.1,105.8,111.7,109,112.4,104.6,128.5,115.3,104.6
  2017 3Q,100.8,103.7,94.3,101.2,99.3,92.8,97.8,96.9,96,89.5,94.9,100.2
  2017 2Q,99.6,91.8,101.8,99.1,94.7,93.2,99.6,94.6,98.7,86,92.3,96.2
  2017 1Q,101.9,101.2,100.9,98.5,100.2,102.2,93.6,96.2,100.6,96,97.6,99
  2016 4Q,101.3,102.8,94.1,94.7,101.6,108.3,105.5,106.3,104.8,122.8,108.8,103.7
  2016 3Q,104.2,100,98.3,92.7,93.8,88.7,98.8,94.4,92.1,92.4,97.7,100.2
  2016 2Q,101.4,96.8,105.2,88.6,90.4,91.3,101.2,94.5,89.6,86.5,98.4,98
  2016 1Q,104.5,107,95.2,88.8,95.1,103.8,97.8,93.7,100.6,96.3,101.6,99.5
  2015 4Q,101.5,102.8,85.2,97.2,96.6,111.9,105.6,102.8,106.1,135.6,109.5,98.6
  2015 3Q,103.1,108.4,75.9,102.7,91.9,93.4,101.2,98.4,102,107.7,101.2,94.7
  2015 2Q,100.7,102.8,80.5,101.9,88,94.2,98.8,97.8,94.4,108.4,105.5,93.5
  2015 1Q,101.9,130,64.8,94.3,87.4,108.3,100.2,96,108.5,122.5,108.5,93.7
  2014 4Q,104.8,115.6,52.8,112,89.6,114.5,109.6,110,108.5,169.9,118.2,93.6
  2014 3Q,107,111.4,52.6,127.7,85.6,95.8,103.2,99.7,94.7,107.2,109.6,87.3
  2014 2Q,102.9,108.8,49.4,124.5,85.5,97.5,101.8,104.8,94.6,111.5,112.6,83.5
  2014 1Q,102.8,138.1,48.4,123.2,90,111.1,100.4,106.4,107.3,116.3,110.6,87.7
  2013 4Q,103.1,113.3,39.3,120.5,86.8,119.8,113.8,116.2,104.8,141.4,123.3,93
  2013 3Q,106.4,111.1,40,126,80.7,101.3,108.2,111.1,98.3,113.1,108.9,93.2
  2013 2Q,102.8,105.8,59.8,118.3,82.8,99.7,103.3,113.3,107.2,123.2,109.8,93.1
  2013 1Q,106.1,129.2,54.9,120.6,86.9,114.5,107.1,106.1,103.6,123.1,111.3,92.6
  2012 4Q,102.9,111.2,63.3,116.2,83.9,119.7,119.3,115.9,109.7,156.7,116.9,92
  2012 3Q,103.8,104.7,63.7,120.5,78.7,102.6,111.4,107.7,96.8,126.9,102.6,92.3
  2012 2Q,100,99.2,65.5,120.2,80,100.2,109.3,113.5,101.2,128.7,104.8,90.5
  2012 1Q,103.2,122,70.7,123.4,82.2,110.7,112.3,106.8,102.6,128.5,111.2,94.2
  2011 4Q,100.3,107.3,69.3,116.4,78,119,119.1,118,110.2,161.6,119.9,95
  2011 3Q,101.1,100,65.5,118.1,72.4,99.8,110.1,105.6,99.6,122.3,102,91.6
  2011 2Q,96.8,96.7,68.2,115.5,70.7,99.3,108.4,111.4,104,118.2,109.4,88.4
  2011 1Q,98.5,114.2,57.2,109.3,72.4,106.8,107.7,104,94.9,119.4,115.3,90
  2010 4Q,96.2,99.2,68.6,98.8,70.8,115.7,117.6,114.4,99.6,128.4,124.3,91.8
  2010 3Q,94.2,95.8,67.5,100.4,66.6,92.7,109.3,101.8,83,117,107.8,86.1
  2010 2Q,89.5,88,61.9,100.2,65.6,90.6,105.5,106,81.2,101.8,111.9,82.1
  2010 1Q,92.7,106.4,77.9,99.7,64.7,101.6,101.9,102.2,80.4,116.9,112,83.2
  2009 4Q,93.2,94.2,84.5,93.5,61.9,100.6,105.3,114.2,88.8,124.1,118.3,86.4
  2009 3Q,95.5,93.2,83,96.7,59.6,90.4,102.9,100.3,73.7,108.1,105.9,84.2
  2009 2Q,93.4,89.8,94.6,89.9,60.1,84.7,96.9,103.3,67.4,102.4,104.4,79.9
  2009 1Q,93.3,110.7,106,85.6,59.6,89.4,90.6,96.4,67.3,104.8,108.9,79.6
  2008 4Q,95.6,92.2,105.3,94.5,58.9,96.3,103.3,110.5,82.6,113.3,120.7,90.5
  2008 3Q,94.2,93.5,112.9,116.1,55.1,89.3,104.7,98.4,77.2,114.2,111.6,93.4
  2008 2Q,88.8,90.4,126,113.8,56.6,89.4,103.2,107.4,77.2,98.7,107.3,91.1
  2008 1Q,87.6,115.7,122.5,105.2,56.9,101.8,113,98.7,82.9,110,111.3,88.5
  2007 4Q,83.3,97.6,113.5,100,53.1,103.6,112,120.4,93,113.3,121.2,93.2
  2007 3Q,87.2,93.4,109.9,95.5,49.2,83.8,96.4,101.7,73.7,100.8,108.4,85.9
  2007 2Q,87.4,88.4,127.8,86.2,52.9,86.4,108.7,110.9,82.4,104.5,109.1,83.1
  2007 1Q,86.1,115.6,132.8,74.8,52.6,94.8,103.1,98.5,76.5,91.8,102.8,81.4
  2006 4Q,81.5,91.8,130.9,78.5,50.3,87.8,105,112.3,85.4,95.3,110.5,82
  2006 3Q,82.1,90.8,116.1,87.4,48.7,76,86.2,94.3,67.1,92.2,102.9,81.4
  2006 2Q,78.5,86.1,131.6,85.1,49.5,77.5,87.3,99,71.4,96.7,94.8,76.4
  2006 1Q,81.3,105.2,137.8,79.6,50.2,85.9,89.5,95.7,71,94,97.5,76.2
  2005 4Q,77.4,86.9,123.9,79.7,49,86.2,100.3,112.4,82.6,91.2,109.2,76.7
  2005 3Q,76.8,84.8,118.7,79.5,46.3,66.2,84.2,96.5,68.8,92.4,105.5,71.7
  2005 2Q,72.7,78.1,122.9,71.2,43.7,67.9,84.8,94.5,68.7,90,99.2,70.6
  2005 1Q,78.7,96.6,127,68,46.9,78.2,87.7,93.8,73.7,94.2,98.6,65.3
  2004 4Q,72.5,73,118,69.7,45,78.8,94,101.5,77.4,89.2,107,71.9
  2004 3Q,70.2,72.4,108.3,72.7,42.3,63.1,78.2,87.5,60.6,82.5,92.4,68.6
  2004 2Q,68.3,68.7,109.9,69,43.4,62.5,76.6,87,62,89.9,98,68.5
  2004 1Q,69.8,95.1,118.9,67.1,43,67,76.1,82.1,62.7,92.1,99.9,74.4
  2003 4Q,67.8,77.6,105,63.5,41.5,76,89.3,104.4,75.2,86.4,109.4,61.7
  2003 3Q,64.7,74.7,98.5,63.1,39.2,56.3,68.6,76.4,56.6,81.6,96,56.3
  2003 2Q,62.5,56.6,96,61.3,39.7,48.6,69.5,74.8,52.4,90.6,89.7,58.7
  2003 1Q,64.5,100.1,87.2,63.6,40.2,69.4,70.8,73.9,50.7,87.3,93.7,67.5
  2002 4Q,65.9,72.3,80.2,63,40.8,79.4,93.3,95.8,63.1,97.9,107.8,77.3
  2002 3Q,62.1,74.2,77,64.6,36.1,61.4,76.5,79.3,53.9,80.9,91.6,66.4
  2002 2Q,60.3,68.6,72.6,61.9,36.2,59.2,73.8,81.7,56.4,82.8,88.8,67.5
  2002 1Q,61.6,96.6,84.1,61.2,38.6,70.9,77.8,77.6,54.1,79.8,93.3,63.6
  2001 4Q,61.4,68,77.9,64.3,37.6,76.9,89.5,95.2,62.1,82.5,99.2,67.1
  2001 3Q,59.3,65.8,83.3,70.3,35.6,62.5,74.1,84.8,51.7,85.9,85.6,65.5
  2001 2Q,57.6,63.6,87.7,71.4,36.6,62.6,71.9,89,55.6,92.7,85.9,54.4
  2001 1Q,60,90.8,93.7,72.3,37.4,72.5,73.3,84.1,54.3,122.9,93.7,59.7
  2000 4Q,59.6,66.6,79.6,74.3,37.2,76.5,92,108.2,64.7,104.6,100.4,59.6
  2000 3Q,56.6,65.6,85.6,75.8,34.7,65.3,78.6,84.8,51.4,106.5,90.3,56.5
  2000 2Q,55.7,60.2,80.4,70.3,36.1,59.2,76.7,92.7,51.9,112.6,85.9,56.5
  2000 1Q,57.4,89.5,65.7,68.7,36.8,74.8,85.2,88.7,52.2,105.9,88.9,56.2
  1999 4Q,56.8,63.4,58.3,67.3,35.9,72.8,86.3,104.2,60.3,85,95.8,54.8
  1999 3Q,54.7,64.7,59.2,65.1,32.9,60,77.2,86.8,54.1,79.7,81,52.4
  1999 2Q,54.2,58.4,50.3,63.4,33.1,59.4,73.7,85.4,53,81.9,77.7,51.4
  1999 1Q,56.8,80.8,37.6,59.5,31.5,69.1,78.4,78.3,53.3,72.1,77.9,49.5
  1998 4Q,56.2,59.5,37.5,63.7,31.5,61.4,80.7,84.5,56.8,66,85.1,50.2
  1998 3Q,57.4,54.7,37.1,68.5,31.2,51.2,67.4,74.4,46.9,68.9,71.3,48.5
  1998 2Q,56.7,55,42.4,70,29.7,53,69.4,75.7,45.5,80.2,72.4,58.5
  1998 1Q,58.7,78.3,33.3,71.7,30.4,61.9,76.2,77.1,54,89.7,80.2,54.6
  1997 4Q,57.7,68.2,33.1,69.4,31.4,65.9,82,93.2,68.7,104.6,90.1,51.9
  1997 3Q,56.2,77.6,42.6,69.9,32.9,61.5,71.1,86.7,72.4,115.1,82.9,53.3
  1997 2Q,55.7,72.2,39.8,68,31.4,57.1,70.5,88.3,59.1,108.1,81.5,55.6
  1997 1Q,58.4,103.8,40.6,69.5,32.3,71.5,74.3,93.2,73,114.4,86.2,56.7
  1996 4Q,56.7,76.2,47.2,72.6,32.6,77.5,79.3,104,71.3,102.1,91,59.5
  1996 3Q,54.3,77.6,44.7,72.8,30.8,64.6,64.1,80.7,55.3,105.6,77.9,59.9
  1996 2Q,52.4,74.7,46.9,69.4,28.9,57.2,61.3,71.4,52.8,113.6,76.6,54.3
  1996 1Q,57,103.7,53.1,66.8,30.4,73.6,67.6,70.6,66.5,97.1,77.5,58.1
  1995 4Q,54.8,80.8,49.3,66.4,30.2,71.5,68.4,79.9,69.1,92.4,83,56.1
  1995 3Q,54.1,80.3,52.6,68,30.4,62.9,58.9,66,57.6,83.5,70.6,58.4
  1995 2Q,52.6,75.2,52.5,65.2,29.2,59.7,54.9,65.4,54.5,78.3,67.7,53.5
  1995 1Q,55.8,93.6,60.3,63.4,29.2,75,62.2,75,62.9,62.5,69.5,58.4
  1994 4Q,55.3,83.2,49.9,65.4,28.7,76.9,62.4,90.7,67.5,54.7,78.8,60.4
  1994 3Q,53.4,76.5,52.8,65.3,28.7,66.9,53.8,84,57.6,48.5,66.8,57.1
  1994 2Q,48.1,74.1,47.7,63.1,25.6,58.1,46.4,76.7,47.4,36.1,61.1,50.3
  1994 1Q,55.2,99.5,65.2,61.7,29.8,75.4,76.7,95.7,87.1,41.7,69.9,68.6
  1993 4Q,52.8,83.1,49.3,64.8,27,73.1,68.1,101.2,74.3,31.7,73.5,63.9
  1993 3Q,51.4,76.5,54.5,63.9,25.7,62.6,57.3,90.7,61.5,30.3,59.9,59.8
  1993 2Q,50.2,69.5,55.2,62.7,24,57.1,51.4,100.5,66.3,32.2,57.2,60.4
  1993 1Q,53.5,76.2,56,62,24,66.6,58,99.7,84.7,28.5,58.8,69.7
